dataset,epsilon,model,accuracy_mean,accuracy_std,n_runs,mia_attack_acc,time,Winner
Iris,0.1,Non-private GB,0.8866666666666665,0.046027367060462177,10,0.5625,,DP-GB wins
Iris,0.1,DP-GB One-Ball,0.3466666666666667,0.16305721180305902,10,0.5625,0.002358675003051758,DP-GB wins
Iris,0.1,DP-GB Multi-Ball,0.3622222222222222,0.07306347654566041,10,0.5625,,DP-GB wins
Iris,0.1,DP-k-means,0.6977777777777778,0.15305933651308945,10,0.5625,,DP-GB wins
Iris,0.1,DP-Logistic,0.13111111111111112,0.03362832433427013,10,0.5625,,DP-GB wins
Iris,0.1,DP-Naive Bayes,0.3088888888888889,0.07058835633008262,10,0.5625,,DP-GB wins
Iris,0.1,DP-kNN (k=5),0.3577777777777778,0.06242031957861395,10,0.5625,,DP-GB wins
Iris,0.5,Non-private GB,0.8866666666666665,0.046027367060462177,10,0.5708333333333333,,DP-GB wins
Iris,0.5,DP-GB One-Ball,0.6533333333333334,0.12098362301169954,10,0.5708333333333333,0.002358675003051758,DP-GB wins
Iris,0.5,DP-GB Multi-Ball,0.52,0.12499876542600208,10,0.5708333333333333,,DP-GB wins
Iris,0.5,DP-k-means,0.6844444444444444,0.0679869268479038,10,0.5708333333333333,,DP-GB wins
Iris,0.5,DP-Logistic,0.23555555555555557,0.028458329944145988,10,0.5708333333333333,,DP-GB wins
Iris,0.5,DP-Naive Bayes,0.024444444444444446,0.02096440251568134,10,0.5708333333333333,,DP-GB wins
Iris,0.5,DP-kNN (k=5),0.4533333333333333,0.04786813161897337,10,0.5708333333333333,,DP-GB wins
Iris,1.0,Non-private GB,0.8866666666666665,0.046027367060462177,10,0.5666666666666667,,DP-GB wins
Iris,1.0,DP-GB One-Ball,0.7866666666666666,0.08955307413159948,10,0.5666666666666667,0.002358675003051758,DP-GB wins
Iris,1.0,DP-GB Multi-Ball,0.5955555555555556,0.1829254722422816,10,0.5666666666666667,,DP-GB wins
Iris,1.0,DP-k-means,0.6822222222222223,0.04559618784151822,10,0.5666666666666667,,DP-GB wins
Iris,1.0,DP-Logistic,0.34444444444444444,0.02675909906398289,10,0.5666666666666667,,DP-GB wins
Iris,1.0,DP-Naive Bayes,0.23777777777777778,0.11245849714559997,10,0.5666666666666667,,DP-GB wins
Iris,1.0,DP-kNN (k=5),0.5422222222222223,0.06531972647421809,10,0.5666666666666667,,DP-GB wins
Iris,2.0,Non-private GB,0.8866666666666665,0.046027367060462177,10,0.5625,,DP-GB wins
Iris,2.0,DP-GB One-Ball,0.8933333333333333,0.05946261404559846,10,0.5625,0.002358675003051758,DP-GB wins
Iris,2.0,DP-GB Multi-Ball,0.7555555555555555,0.08999314102807372,10,0.5625,,DP-GB wins
Iris,2.0,DP-k-means,0.7377777777777779,0.07423685817106697,10,0.5625,,DP-GB wins
Iris,2.0,DP-Logistic,0.33333333333333337,5.551115123125783e-17,10,0.5625,,DP-GB wins
Iris,2.0,DP-Naive Bayes,0.8177777777777779,0.0341384255460827,10,0.5625,,DP-GB wins
Iris,2.0,DP-kNN (k=5),0.7711111111111112,0.06595920924291479,10,0.5625,,DP-GB wins
Wine,0.1,Non-private GB,0.9574074074074075,0.02037037037037038,10,,,DP-GB wins
Wine,0.1,DP-GB One-Ball,0.35555555555555557,0.04040263746161376,10,,0.0010876655578613281,DP-GB wins
Wine,0.1,DP-GB Multi-Ball,0.3666666666666667,0.027216552697590882,10,,,DP-GB wins
Wine,0.1,DP-k-means,0.6129629629629629,0.06385533203543209,10,,,DP-GB wins
Wine,0.1,DP-Logistic,0.39444444444444443,0.034196639467813685,10,,,DP-GB wins
Wine,0.1,DP-Naive Bayes,0.6425925925925926,0.26669881493459463,10,,,DP-GB wins
Wine,0.1,DP-kNN (k=5),0.32962962962962966,0.04444444444444445,10,,,DP-GB wins
Wine,0.5,Non-private GB,0.9574074074074075,0.02037037037037038,10,,,DP-GB wins
Wine,0.5,DP-GB One-Ball,0.4574074074074074,0.10607409993792359,10,,0.0010876655578613281,DP-GB wins
Wine,0.5,DP-GB Multi-Ball,0.35185185185185186,0.05171940756951459,10,,,DP-GB wins
Wine,0.5,DP-k-means,0.5351851851851852,0.06851851851851852,10,,,DP-GB wins
Wine,0.5,DP-Logistic,0.4166666666666667,0.047754803548991205,10,,,DP-GB wins
Wine,0.5,DP-Naive Bayes,0.5203703703703704,0.21363822091935175,10,,,DP-GB wins
Wine,0.5,DP-kNN (k=5),0.44074074074074077,0.0359087396845654,10,,,DP-GB wins
Wine,1.0,Non-private GB,0.9574074074074075,0.02037037037037038,10,,,DP-GB wins
Wine,1.0,DP-GB One-Ball,0.674074074074074,0.10547430271035661,10,,0.0010876655578613281,DP-GB wins
Wine,1.0,DP-GB Multi-Ball,0.4222222222222222,0.15752718754175363,10,,,DP-GB wins
Wine,1.0,DP-k-means,0.5611111111111111,0.09800828609184624,10,,,DP-GB wins
Wine,1.0,DP-Logistic,0.40370370370370373,0.05158662324883007,10,,,DP-GB wins
Wine,1.0,DP-Naive Bayes,0.5166666666666667,0.06544665572989737,10,,,DP-GB wins
Wine,1.0,DP-kNN (k=5),0.5796296296296296,0.03419663946781367,10,,,DP-GB wins
Wine,2.0,Non-private GB,0.9574074074074075,0.02037037037037038,10,,,DP-GB wins
Wine,2.0,DP-GB One-Ball,0.8777777777777777,0.08534606386520675,10,,0.0010876655578613281,DP-GB wins
Wine,2.0,DP-GB Multi-Ball,0.5925925925925927,0.11857637476727498,10,,,DP-GB wins
Wine,2.0,DP-k-means,0.5685185185185185,0.09870561460175133,10,,,DP-GB wins
Wine,2.0,DP-Logistic,0.37777777777777777,0.022222222222222233,10,,,DP-GB wins
Wine,2.0,DP-Naive Bayes,0.3907407407407408,0.13543862594982628,10,,,DP-GB wins
Wine,2.0,DP-kNN (k=5),0.7555555555555555,0.044444444444444425,10,,,DP-GB wins
Breast Cancer,0.1,Non-private GB,0.9391812865497077,0.018713450292397668,10,,,DP-GB wins
Breast Cancer,0.1,DP-GB One-Ball,0.6011695906432749,0.0736842105263158,10,,0.0009756088256835938,DP-GB wins
Breast Cancer,0.1,DP-GB Multi-Ball,0.5239766081871344,0.12228236579479179,10,,,DP-GB wins
Breast Cancer,0.1,DP-k-means,0.6251461988304093,0.0017543859649122972,10,,,DP-GB wins
Breast Cancer,0.1,DP-Logistic,0.5871345029239767,0.023421034379533082,10,,,DP-GB wins
Breast Cancer,0.1,DP-Naive Bayes,0.5830409356725146,0.15867362577667524,10,,,DP-GB wins
Breast Cancer,0.1,DP-kNN (k=5),0.5093567251461988,0.02568443421754124,10,,,DP-GB wins
Breast Cancer,0.5,Non-private GB,0.9391812865497077,0.018713450292397668,10,,,DP-GB wins
Breast Cancer,0.5,DP-GB One-Ball,0.8187134502923976,0.08666027393142783,10,,0.0009756088256835938,DP-GB wins
Breast Cancer,0.5,DP-GB Multi-Ball,0.656140350877193,0.15380895184100074,10,,,DP-GB wins
Breast Cancer,0.5,DP-k-means,0.6883040935672514,0.053982025033422656,10,,,DP-GB wins
Breast Cancer,0.5,DP-Logistic,0.5719298245614035,0.029680883135554434,10,,,DP-GB wins
Breast Cancer,0.5,DP-Naive Bayes,0.7076023391812866,0.11587214250149251,10,,,DP-GB wins
Breast Cancer,0.5,DP-kNN (k=5),0.5900584795321637,0.036091869296396406,10,,,DP-GB wins
Breast Cancer,1.0,Non-private GB,0.9391812865497077,0.018713450292397668,10,,,DP-GB wins
Breast Cancer,1.0,DP-GB One-Ball,0.923391812865497,0.013450292397660817,10,,0.0009756088256835938,DP-GB wins
Breast Cancer,1.0,DP-GB Multi-Ball,0.7315789473684211,0.0920360828097831,10,,,DP-GB wins
Breast Cancer,1.0,DP-k-means,0.6350877192982456,0.024421769611486673,10,,,DP-GB wins
Breast Cancer,1.0,DP-Logistic,0.5362573099415204,0.027559933726194575,10,,,DP-GB wins
Breast Cancer,1.0,DP-Naive Bayes,0.7023391812865497,0.15747073240849535,10,,,DP-GB wins
Breast Cancer,1.0,DP-kNN (k=5),0.7192982456140351,0.03127425019209575,10,,,DP-GB wins
Breast Cancer,2.0,Non-private GB,0.9391812865497077,0.018713450292397668,10,,,DP-GB wins
Breast Cancer,2.0,DP-GB One-Ball,0.9397660818713451,0.010477469512964264,10,,0.0009756088256835938,DP-GB wins
Breast Cancer,2.0,DP-GB Multi-Ball,0.8830409356725145,0.05975223286289965,10,,,DP-GB wins
Breast Cancer,2.0,DP-k-means,0.6245614035087719,0.004376207469911039,10,,,DP-GB wins
Breast Cancer,2.0,DP-Logistic,0.6064327485380117,0.017553603531934078,10,,,DP-GB wins
Breast Cancer,2.0,DP-Naive Bayes,0.7736842105263158,0.05360056677427944,10,,,DP-GB wins
Breast Cancer,2.0,DP-kNN (k=5),0.8584795321637427,0.02727930711038736,10,,,DP-GB wins
Synthetic Blobs,0.1,Non-private GB,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-GB One-Ball,0.8113333333333331,0.24747704719607608,10,,0.0010523796081542969,DP-GB wins
Synthetic Blobs,0.1,DP-GB Multi-Ball,0.5826666666666667,0.2512227873599226,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-k-means,0.9559999999999998,0.0984863216673034,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-Logistic,0.2,0.027968235951204044,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-Naive Bayes,0.184,0.0890043694308194,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-kNN (k=5),0.36866666666666664,0.05766184950978323,10,,,DP-GB wins
Synthetic Blobs,0.5,Non-private GB,1.0,0.0,10,,,DP-GB wins
